relative_path,accession,title,pages,size,sha256,doi_found,relevance,status,repo_matches
AD1338534_AssemblingaDeep-HistoryBinaryCorpus (1).pdf,AD1338534,Assem linga Deep History Binary Corpus (1),13,5094490,c01698b17c7edcfad4df07570c0c06fc57c3b01fc72f5480aff6b797d589e5b0,,low,intake_unreviewed_not_KR,
AD1345078_EffectofCurrentSheathInitiationontheRadialCollapseandEnerget.pdf,AD1345078,Effect of current sheath initiation on the radial collapse and energetic particle acceleration in 10 kJ Dense Plasma Focus,22,6553094,b2e95b882b6addf4e61db11616edc6e6458212233602eabf2d9a6a4c8283d159,,high,intake_unreviewed_not_KR,
ADA433824_AdvancementsinDensePlasmaFocusbDPFbforSpacePropulsion.pdf,ADA433824,Advancements in Dense Plasma Focus (DPF) for Space Propulsion,9,380678,6e45eca49152e4e74e0882a9a6358f1edf9c5491e3c4014caac9dab849e9bc5e,,high,intake_unreviewed_not_KR,
ADA454652_AnInvestigationofBremsstrahlungReflectioninaDensePlasmaFocus.pdf,ADA454652,An Investigation of Bremsstrahlung Reflection in a Dense Plasma Focus,9,518970,f17533f2f1c9bc378b7ecd65dea0a6ed125eb067503eb84f7402e0b24979f98c,,high,intake_unreviewed_not_KR,
ADA589175_HierarchicalReconstructionwithUptoSecondDegreeRemainderforSol.pdf,ADA589175,Hierarchical Reconstructionwith Upto Second Degree Remainderfor Sol,17,1041704,577e3e5b899e51ea9c5bdd8d2ed3f37a9cb6653498c181b79dbe51df2d288c16,,low,intake_unreviewed_not_KR,
ADA589371_LocalDiscontinuousGalerkinMethodsfortheGeneralizedZakharovSyst.pdf,ADA589371,Local Discontinuous Galerkin Methodsforthe Generalized Zakharov Syst,25,1541715,fde62bccc571a858023d887f894645752c7fdc67d6c34576af91513fb12f4600,,low,intake_unreviewed_not_KR,
ADA598221_Magneto-Rayleigh-TaylorInstabilityExperimentsonabDensebZ-Pi.pdf,ADA598221,Magneto Rayleigh Taylor Insta ility Experimentsona Dense Z Pi,3,472428,b55fe77022316aff238ee842feee1819305e7d7a11e6d33aef5e0c307b37372d,,low,intake_unreviewed_not_KR,
ADA598893_KineticComputationalModelofExplosiveEmissionCenterInitiationby.pdf,ADA598893,Kinetic Computational Modelof Explosive Emission Center Initiation y,5,306483,6429b871e05600b8a078222655c824121782dc968b6e80477006cf12fd42e4cd,,medium,intake_unreviewed_not_KR,
ADA599854_ElectrodynamicPropertiesofbDensebSemiclassicalbPlasmab.pdf,ADA599854,Electrodynamic Propertiesof Dense Semiclassical Plasma,3,120738,9a31f386d8a554a3c2f06c5a1b47ecdb924a451dc99d515e264d5aae5a860ac9,,low,intake_unreviewed_not_KR,
ADA606395_bParticlebinbCellbSimulationofPlasmaThrusters.pdf,ADA606395,Particle in Cell Simulationof Plasma Thrusters,7,1432793,778ab66ca7e990b21cf736b80cba4583c06de450a350965b4c4a35fa990d7449,,medium,intake_unreviewed_not_KR,
ADA628985_MAGIC3DElectromagneticFDTD-PICCodebDensebbPlasmabModel.pdf,ADA628985,MAGIC3DElectromagnetic FDTD PICCode Dense Plasma Model,5,2282872,12af3670b9750b76b15223dac604f3bc2bc87089e86d35f1b3c80b5c26f024fb,,medium,intake_unreviewed_not_KR,
Wave 5/1169854.pdf,1169854,,15,1031188,3f439245a587d93ac22c428451fc35a70252dc73bac0fa3bd2e43dbe01625090,,high,intake_unreviewed_not_KR,
Wave 5/AD1001263_ModelingofInelasticCollisionsinaMultifluidPlasmaExcitationan.pdf,AD1001263,Modelingof Inelastic Collisionsina Multifluid Plasma Excitationan,40,881147,c90bc64ecd07bcf162c470cfaedd6e213402183bcd84c7bcc56025bb688abd3a,,low,intake_unreviewed_not_KR,
Wave 5/AD1076777_OptimizationofbDensebbPlasmabbFocusbDPFNeutron.pdf,AD1076777,Optimization of Dense Plasma Focus (DPF) Neutron Sources via Experiments and Kinetic Modeling,8,1221229,8b83e6b55436a2330973f06c6a4589f4ce2839dde381a3db175a0e442c509a64,,high,intake_unreviewed_not_KR,
